Rank,Perusahaan,Industri,Revenue (USD millions),Revenue growth,Employees,Headquarters,website,email
33,Comcast,Telecommunications,121572,0.1%,186000,"Philadelphia, Pennsylvania",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
34,Wells Fargo,Financials,115340,39.2%,226000,"San Francisco, California",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
35,Goldman Sachs,Financials,108418,57.8%,45300,"New York City, New York",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
36,Freddie Mac,Financials,108050,24.6%,8020,"McLean, Virginia",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
37,Target Corporation,Retail,107412,-1.6%,415000,"Minneapolis, Minnesota",https://www.google.com/preferences?hl=en,[]
38,Humana,Health insurance,106374,14.5%,67600,"Louisville, Kentucky",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
39,State Farm,Financials,104199,16.6%,65054,"Bloomington, Illinois",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
40,Tesla,Automotive and energy,96773,18.8%,140473,"Austin, Texas",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
41,Morgan Stanley,Financials,96194,45.9%,80006,"New York City, New York",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
42,Johnson & Johnson,Pharmaceutical industry,95195,0.3%,131900,"New Brunswick, New Jersey",https://www.google.com/search?sca_esv=e99d6b0bec6c8c62,[]
43,Archer Daniels Midland,Food industry,93935,-7.5%,41008,"Chicago, Illinois",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
44,PepsiCo,Beverage,91471,5.9%,318000,"Purchase, New York",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
45,United Parcel Service,Transportation,90958,-9.3%,382550,"Atlanta, Georgia",https://www.google.com/preferences?hl=en,[]
46,FedEx,Transportation,90155,-3.6%,446400,"Memphis, Tennessee",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
47,The Walt Disney Company,Media,88898,7.5%,199125,"Burbank, California",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
48,Dell Technologies,Technology,88425,-13.6%,120000,"Round Rock, Texas",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
49,Lowe's,Retail,86377,-11.0%,226000,"Mooresville, North Carolina",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
50,Procter & Gamble,Consumer products manufacturing,82006,2.3%,107000,"Cincinnati, Ohio",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
51,Energy Transfer Partners,Petroleum industry,78586,-12.6%,13786,"Dallas, Texas",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
52,Boeing,Aerospace and defense,77794,16.8%,171000,"Arlington County, Virginia",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
53,Albertsons,Retail,77650,8.0%,198650,"Boise, Idaho",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
54,Sysco,Food service,76325,11.2%,71750,"Houston, Texas",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
55,RTX Corporation,Conglomerate,68920,2.8%,185000,"Arlington County, Virginia",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
56,General Electric,Conglomerate,67954,-11.2%,125000,"Boston, Massachusetts",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
57,Lockheed Martin,Aerospace and defense,67571,2.4%,122000,"Bethesda, Maryland",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
58,American Express,Financial,67364,21.1%,74600,"New York City, New York",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
59,Caterpillar,Machinery,67060,12.8%,113200,"Irving, Texas",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
60,MetLife,Financials,66905,-4.3%,45000,"New York City, New York",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
61,HCA Healthcare,Healthcare,64968,7.9%,265000,"Nashville, Tennessee",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
62,Progressive Corporation,Insurance,62109,25.2%,61432,"Mayfield Village, Ohio",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
63,IBM,Technology and cloud computing,61860,-16.3%,296600,"Armonk, New York",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
64,John Deere,Agriculture manufacturing,61251,16.5%,82956,"Moline, Illinois",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
65,Nvidia,Technology,60922,125.9%,29600,"Santa Clara, California",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
66,StoneX Group,Financials,60856,-7.8%,4137,"New York City, New York",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
67,Merck & Co.,Pharmaceutical industry,60115,1.4%,71000,"Kenilworth, New Jersey",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
68,ConocoPhillips,Petroleum industry,58574,-28.7%,9900,"Houston, Texas",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
69,Pfizer,Pharmaceutical industry,58496,-41.7%,88000,"New York City, New York",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
70,Delta Air Lines,Airline,58048,14.8%,103000,"Atlanta, Georgia",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
71,TD Synnex,Information Technology,57555,-7.7%,28000,"Clearwater, Florida",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
72,Publix,Retail,57534,4.7%,253000,"Lakeland, Florida",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
73,Allstate,Insurance,57094,11.1%,53200,"Northfield Township, Cook County, Illinois",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
74,Cisco,Telecom hardware manufacturing,56998,10.6%,84900,"San Jose, California",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
75,Nationwide Mutual Insurance Company,Financial,54609,6.1%,24118,"Columbus, Ohio",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
76,Charter Communications,Telecommunications,54607,1.1%,101100,"Stamford, Connecticut",https://www.google.com/preferences?hl=en,[]
77,AbbVie,Pharmaceutical industry,54317,-6.4%,50000,"Lake Bluff, Illinois",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
78,New York Life Insurance Company,Insurance,54317,14.2%,15384,"New York City, New York",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
79,Intel,Technology,54228,-14.0%,124800,"Santa Clara, California",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
80,TJX,Retail,49936,2.9%,329000,"Framingham, Massachusetts",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
81,Prudential Financial,Financials,53979,-10.1%,40366,"Newark, New Jersey",https://www.google.com/preferences?hl=en,[]
82,HP,Technology,53718,-14.5%,58000,"Palo Alto, California",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
83,United Airlines,Airline,53717,19.5%,103300,"Chicago, Illinois",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
84,Performance Food Group,Food processing,53355,13.1%,34825,"Richmond, Virginia",https://www.google.com/preferences?hl=en,[]
85,Tyson Foods,Food processing,52788,-0.8%,139000,"Springdale, Arkansas",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
86,American Airlines,Airline,52788,7.8%,132100,"Fort Worth, Texas",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
87,Liberty Mutual,Insurance,52612,5.3%,45000,"Boston, Massachusetts",http://www.google.com/aclk?sa=L,[]
88,Nike,Apparel,51217,9.6%,83700,"Beaverton, Oregon",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
89,Oracle Corporation,Technology,49954,17.7%,164000,"Austin, Texas",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
90,Enterprise Products,Petroleum industry,49715,-14.6%,7500,"Houston, Texas",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
91,Capital One Financial,Financials,49484,29.0%,51987,"Richmond, Virginia",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
92,Plains All American Pipeline,Petroleum industry,48712,-15.1%,4200,"Houston, Texas",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
93,World Kinect Corporation,Energy trading,47711,-19.2%,5289,"Doral, Florida",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
94,AIG,Insurance,46802,-17.1%,25200,"New York City, New York",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
95,Coca-Cola,Beverage,45754,6.4%,79100,"Atlanta, Georgia",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
96,TIAA,Financials,45735,11.8%,16023,"New York City, New York",https://www.google.com/preferences?hl=en,[]
97,CHS,Agriculture cooperative,45590,-4.6%,10609,"Inver Grove Heights, Minnesota",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
98,Bristol-Myers Squibb,Pharmaceutical industry,45006,-2.5%,34100,"New York City, New York",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
99,Dow Chemical Company,Chemical industry,44622,-21.6%,35900,"Midland, Michigan",https://www.google.com/preferences?hl=en,[]
100,Best Buy,Retail,43452,-6.1%,85000,"Richfield, Minnesota",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
