game_title,image_url,genre,short_description,player_mode
Throne and Liberty,https://images.igdb.com/igdb/image/upload/t_cover_big/co8j6b.jpg,MMORPG,"Jelajahi dunia terbuka yang lu as dalam **Throne and Liberty* *, sebuah MMORPG tempat pertem puran skala besar, perubahan l ingkungan dinamis, dan PvP tan pa batas menanti.",Keduanya
Enshrouded,https://images.igdb.com/igdb/image/upload/t_cover_big/co6gct.jpg,Aksi,"Bangun, bertarung, dan jelajah i dunia yang dilanda kabut dal am Enshrouded! Sobeklah rerunt uhan kuno, kalahkan musuh, dan  bebaskan kerajaan dari bencan a.",Keduanya
Poppy Playtime,https://images.igdb.com/igdb/image/upload/t_cover_big/co90hm.jpg,Horor,"Jelajahi pabrik mainan terbeng kalai, pecahkan teka-teki, dan  bertahan hidup dari mainan me ngerikan yang hidup dan mengej ar Anda dalam game horor survi val ini.",Keduanya
It Takes Two,https://images.igdb.com/igdb/image/upload/t_cover_big/co2t97.jpg,Petualangan,"Petualangan kooperatif yang me nakjubkan! Bermain sebagai Cod y dan May, pasangan yang berub ah menjadi boneka, dan pecahka n teka-teki kreatif bersama un tuk menyelamatkan pernikahan m ereka.",Pemain Banyak
DYNASTY WARRIORS: ORIGINS,https://images.igdb.com/igdb/image/upload/t_cover_big/co9129.jpg,Aksi,"Kalahkan ribuan musuh dalam pe rtempuran besar! Dynasty Warri ors: ORIGINS menghadirkan aksi  hack-and-slash epik di medan  perang dinamis, mengendalikan  jenderal legendaris.",Keduanya
NHL 25,https://images.igdb.com/igdb/image/upload/t_cover_big/co8pwh.jpg,Olahraga,"NHL 25: Rasakan aksi hoki es y ang otentik! Kuasai gameplay c epat, bangun tim impian, dan b erkompetisi untuk meraih kejay aan di es.",Keduanya
Balatro,https://images.igdb.com/igdb/image/upload/t_cover_big/co752b.jpg,Roguelike,"Balatro adalah deckbuilder rog uelike tentang poker. Rancang  kombinasi gila, gunakan joker,  dan dapatkan skor yang luar b iasa dengan tangan poker Anda!",Pemain Tunggal
MiSide,https://images.igdb.com/igdb/image/upload/t_cover_big/co7e6i.jpg,Petualangan,"MiSide adalah game simulasi ke hidupan santai di pulau tropis . Bangun rumah impian, kumpulk an sumber daya, dan berteman d engan penduduk pulau yang rama h!",Keduanya
Metaphor: ReFantazio,https://images.igdb.com/igdb/image/upload/t_cover_big/co8d9t.jpg,RPG,"Bertualanglah dalam Metaphor:  ReFantazio, sebuah RPG fantasi  epik di dunia yang berubah. K uasai takdirmu, bentuk ikatan,  dan taklukkan berbagai tantan gan!",Pemain Tunggal
Indiana Jones and the Great Circle,https://images.igdb.com/igdb/image/upload/t_cover_big/co7nbc.jpg,Petualangan,"Sebagai Indiana Jones, pecahka n misteri kuno dengan gameplay  orang pertama yang imersif. J elajahi dunia, bertarung, dan  gunakan cambuk ikonik untuk me ngungkap Great Circle.",Pemain Tunggal
Hell Let Loose,https://images.igdb.com/igdb/image/upload/t_cover_big/co6sqr.jpg,Shooter,"Hell Let Loose adalah game pen embak taktis Perang Dunia II r ealistis. Berjuang dalam perte mpuran skala besar, bekerja sa ma sebagai tim, dan rasakan pe perangan yang intens.",Pemain Banyak
Super Mario 64,https://images.igdb.com/igdb/image/upload/t_cover_big/co5wv6.jpg,Petualangan,"Petualangan 3D ikonik Mario! J elajahi dunia luas, kumpulkan  bintang dengan memecahkan teka -teki dan mengalahkan Bowser u ntuk menyelamatkan Putri Peach .",Pemain Tunggal
S.T.A.L.K.E.R. 2: Heart of Chornobyl,https://images.igdb.com/igdb/image/upload/t_cover_big/co5pxn.jpg,Shooter,"Bertahan hidup di Zona, dunia  pasca-apokaliptik yang berbaha ya. Jelajahi, lawan anomali, d an ungkap rahasia Chernobyl da lam game FPS bertahan hidup ya ng imersif.",Pemain Tunggal
STALCRAFT: X,https://images.igdb.com/igdb/image/upload/t_cover_big/co8h06.jpg,Shooter,"STALCRAFT: X adalah RPG bertah an hidup multipemain di dunia  terbuka pasca-apokaliptik Cher nobyl. Jelajahi Zona, rampas h arta, dan berjuanglah untuk be rtahan hidup di tengah faksi-f aksi yang berseteru.",Keduanya
Supermarket Together,https://images.igdb.com/igdb/image/upload/t_cover_big/co8mcl.jpg,Simulasi,"Supermarket Together: Bekerja  sama dengan teman-teman, belan ja, dan kelola supermarketmu!  Isi rak, layani pelanggan, dan  capai target bersama-sama!",Pemain Banyak
Ragnarok Online 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co1toh.jpg,MMORPG,"Ragnarok Online 2: Jelajahi du nia fantasi yang luas! Pilih k elas, taklukkan monster, dan j alani petualangan epik dengan  teman dalam MMORPG klasik.",Pemain Banyak
The Outlast Trials,https://images.igdb.com/igdb/image/upload/t_cover_big/co29og.jpg,Horor,"The Outlast Trials adalah game  horor survival multiplayer. B ertahan hidup dalam uji coba p sikologis yang mengerikan deng an teman, menghadapi eksperime n keji dan teror yang brutal.",Pemain Banyak
Detroit: Become Human,https://images.igdb.com/igdb/image/upload/t_cover_big/co6mzf.jpg,Petualangan,"Dalam 'Detroit: Become Human',  kendalikan android dalam duni a futuristik. Buat pilihan yan g menentukan nasib mereka dan  jalani cerita bercabang tentan g kesadaran dan kemanusiaan.",Pemain Tunggal
EA Sports UFC 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co2bz5.jpg,Olahraga,"Rasakan kerasnya pertarungan M MA! EA Sports UFC 2 menawarkan  pertarungan otentik, grafis m emukau, dan ragam petarung unt uk pengalaman oktagon yang int ens.",Keduanya
Palia,https://images.igdb.com/igdb/image/upload/t_cover_big/co6mc3.jpg,Simulasi,"Palia adalah MMO komunitas yan g nyaman. Berinteraksi, memban gun rumah, bertani, memasak, d an mengungkap misteri dunia be rsama teman-temanmu.",Pemain Banyak
Green Hell,https://images.igdb.com/igdb/image/upload/t_cover_big/co9d3h.jpg,Survival,"Bertahan hidup di hutan Amazon  yang kejam. Jelajahi, buat, d an berjuang melawan kelaparan,  luka, dan ancaman tersembunyi  untuk mengungkap misteri ""Gre en Hell"".",Pemain Tunggal
Microsoft Flight Simulator 2024,https://images.igdb.com/igdb/image/upload/t_cover_big/co91qm.jpg,Simulasi,"Terbanglah di dunia yang detai l dalam Microsoft Flight Simul ator 2024! Rasakan berbagai pe kerjaan penerbangan, dari tran sportasi penumpang hingga peny elamatan darurat, dalam simula si penerbangan yang realistis.",Keduanya
Teamfight Tactics,https://images.igdb.com/igdb/image/upload/t_cover_big/co8jux.jpg,Strategi,Rakit tim juara dan lawan pema in lain dalam pertempuran otom atis! Teamfight Tactics adalah  strategi seru dengan elemen R PG yang menegangkan.,Pemain Banyak
No Man's Sky,https://images.igdb.com/igdb/image/upload/t_cover_big/co8j8v.jpg,Petualangan,"Jelajahi alam semesta yang tak  terbatas di No Man's Sky! Kum pulkan sumber daya, bangun, be rtempur, dan temukan rahasia d i planet-planet unik.",Keduanya
Farming Simulator 25,https://images.igdb.com/igdb/image/upload/t_cover_big/co8fpu.jpg,Simulasi,"Kembangkan pertanian impianmu  di Farming Simulator 25! Tanam , panen, beternak, dan jual ha sil pertanianmu di dunia terbu ka yang luas dan realistis.",Keduanya
Tom Clancy's The Division 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co1xrm.jpg,Shooter,"Bertahan hidup di Washington D .C. pasca-pandemi dalam **Tom  Clancy's The Division 2**. Kum pulkan loot, taklukkan wilayah , dan kuasai keterampilan untu k merebut kembali kota dari mu suh.",Keduanya
Super Smash Bros. Ultimate,https://images.igdb.com/igdb/image/upload/t_cover_big/co2255.jpg,Pertarungan,Bertarunglah dengan berbagai k arakter ikonik dari Nintendo d an game lain dalam pertempuran  arena yang seru! Hancurkan la wan dari panggung dalam Super  Smash Bros. Ultimate!,Keduanya
Dying Light,https://images.igdb.com/igdb/image/upload/t_cover_big/co65yq.jpg,Aksi,"Bertahan hidup di dunia pasca- apokaliptik yang dikuasai zomb ie. Jelajahi kota dengan parko ur, kumpulkan sumber daya, dan  lawan gerombolan undead di Dy ing Light.",Keduanya
Sniper Elite: Resistance,https://images.igdb.com/igdb/image/upload/t_cover_big/co9brt.jpg,Shooter,"Sniper Elite: Resistance adala h game stealth taktis Perang D unia II. Gunakan senapanmu, pe rencanaan, dan lingkungan untu k menyusup, membunuh, dan bert ahan hidup melawan musuh.",Keduanya
New World: Aeternum,https://images.igdb.com/igdb/image/upload/t_cover_big/co8xyh.jpg,MMORPG,"Jelajahi dunia Aeternum yang m emukau! Bertarung dalam pertem puran PvP dan PvE, kumpulkan s umber daya, bangun kota, dan k uasai sihir dan senjata dalam  petualangan dunia terbuka.",Keduanya
Hello Kitty Island Adventure,https://images.igdb.com/igdb/image/upload/t_cover_big/co6ohb.jpg,Petualangan,"Jelajahi Pulau yang dipenuhi t eman Sanrio! Kembangkan kamp,  selesaikan tantangan, dan bert eman dengan Hello Kitty dan ka wan-kawan dalam petualangan ya ng menyenangkan!",Pemain Tunggal
The Headliners,https://images.igdb.com/igdb/image/upload/t_cover_big/co9c24.jpg,Petualangan,"Pimpin band rockmu menuju punc ak! Kelola anggota, atur jadwa l, dan buat musik hebat dalam  game simulasi band yang seru d an penuh tantangan.",Pemain Banyak
Mir Tankov,https://images.igdb.com/igdb/image/upload/t_cover_big/co6q0c.jpg,Strategi,"Mir Tankov adalah game aksi ta nk 3D intens. Kumpulkan tank i konik, sesuaikan dengan berbag ai modifikasi, dan bertempurla h dalam pertempuran tim yang d inamis.",Keduanya
The Binding of Isaac: Repentance,https://images.igdb.com/igdb/image/upload/t_cover_big/co949f.jpg,Roguelike,"""The Binding of Isaac: Repenta nce"" adalah *roguelike* *dunge on crawler* yang gelap dan pen uh kekerasan. Jelajahi ruang b awah tanah, bunuh monster, dan  kumpulkan item aneh untuk ber tahan hidup dan mengungkap rah asia.",Pemain Tunggal
Exoborne,https://images.igdb.com/igdb/image/upload/t_cover_big/co9dm3.jpg,Shooter,"Exoborne adalah open-world ext raction shooter yang berlatar  dunia pasca-apokaliptik. Kuasa i kemampuan tempur eksosuit, l awan faksi musuh, dan rebut su mber daya penting.",Pemain Banyak
Grand Theft Auto: San Andreas,https://images.igdb.com/igdb/image/upload/t_cover_big/co2lb9.jpg,Aksi,"Jelajahi negara bagian San And reas yang luas sebagai Carl Jo hnson. Curi mobil, selesaikan  misi, dan bangun dominasimu da lam dunia kejahatan terbuka.",Keduanya
Infinity Nikki,https://images.igdb.com/igdb/image/upload/t_cover_big/co8tdc.jpg,Gaya,"Nikki memasuki dunia fantasi y ang luas, menggabungkan penata an gaya dengan gameplay petual angan yang kaya. Jelajahi, ber dandan, dan penuhi tantangan!",Keduanya
Borderlands 3,https://images.igdb.com/igdb/image/upload/t_cover_big/co20r3.jpg,Shooter,"Tembak dan rampas habis-habisa n! Jelajahi dunia yang kacau,  pilih Vault Hunter-mu, dan had api musuh gila dengan senjata  dahsyat dalam Borderlands 3.",Keduanya
Knight Online,https://images.igdb.com/igdb/image/upload/t_cover_big/co5tgw.jpg,MMORPG,"Bertarung dalam Knight Online,  MMORPG epik! Pilih ras, taklu kkan dunia, dan bertempur dala m perang PvP skala besar untuk  merebut kekuasaan dan kemulia an.",Pemain Banyak
Supermarket Simulator,https://images.igdb.com/igdb/image/upload/t_cover_big/co8guq.jpg,Simulasi,"Kelola supermarket impianmu! B eli produk, tata rak, layani p elanggan, dan kelola keuangan  dalam simulasi bisnis retail y ang realistis.",Keduanya
